Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
October 31 2020,Broward,FL,Passenger,1,1,2,115,117,1.71
January 31 2025,St. Louis,MO,Passenger,2,0,2,51,53,3.77
March 31 2021,Dakota,MN,Passenger,0,1,1,29,30,3.33
April 30 2024,New London,CT,Passenger,2,3,5,196,201,2.49
June 30 2024,Laramie,WY,Passenger,1,1,2,37,39,5.13
October 31 2024,Platte,MO,Passenger,0,1,1,14,15,6.67
November 30 2020,Okanogan,WA,Passenger,49,37,86,25959,26045,0.33
May 31 2023,Monroe,WI,Passenger,1,0,1,11,12,8.33
February 28 2023,Jefferson,WA,Passenger,509,243,752,24205,24957,3.01
March 31 2020,Montgomery,OH,Passenger,0,1,1,49,50,2.00
July 31 2022,Adams,CO,Passenger,1,0,1,51,52,1.92
February 28 2022,El Dorado,CA,Passenger,1,0,1,36,37,2.70
December 31 2020,Franklin,WA,Passenger,85,82,167,61315,61482,0.27
January 31 2021,Flathead,MT,Passenger,2,0,2,61,63,3.17
May 31 2022,Dorchester,SC,Passenger,1,0,1,74,75,1.33
September 30 2020,Polk,FL,Passenger,1,0,1,80,81,1.23
August 31 2020,Klickitat,WA,Truck,0,0,0,8094,8094,0.00
June 30 2023,Adams,CO,Passenger,1,0,1,36,37,2.70
February 28 2022,El Paso,CO,Passenger,2,3,5,704,709,0.71
August 31 2023,El Paso,CO,Passenger,7,5,12,593,605,1.98
October 31 2023,Montgomery,MD,Passenger,6,4,10,209,219,4.57
November 30 2017,Monterey,CA,Passenger,0,2,2,206,208,0.96
April 30 2023,Collier,FL,Passenger,1,0,1,18,19,5.26
August 31 2017,Twin Falls,ID,Passenger,0,1,1,24,25,4.00
October 31 2019,Camden,NJ,Passenger,0,1,1,21,22,4.55
April 30 2023,Hartford,CT,Passenger,1,0,1,35,36,2.78
July 31 2021,New London,CT,Passenger,2,2,4,221,225,1.78
August 31 2018,Klamath,OR,Passenger,1,0,1,41,42,2.38
December 31 2024,Cumberland,ME,Passenger,1,0,1,10,11,9.09
August 31 2018,Sangamon,IL,Passenger,1,0,1,11,12,8.33
September 30 2024,Medina,TX,Passenger,1,0,1,5,6,16.67
July 31 2024,Charles,MD,Passenger,2,1,3,64,67,4.48
May 31 2024,Jefferson,IL,Passenger,1,0,1,2,3,33.33
May 31 2019,Lewis,WA,Passenger,96,95,191,58996,59187,0.32
April 30 2020,Alameda,CA,Passenger,2,1,3,306,309,0.97
July 31 2020,Frederick,MD,Passenger,1,1,2,69,71,2.82
July 31 2024,Pend Oreille,WA,Passenger,40,21,61,8630,8691,0.70
June 30 2023,Mason,WA,Truck,12,0,12,20653,20665,0.06
May 31 2023,King,WA,Passenger,55486,14187,69673,1318662,1388335,5.02
November 30 2024,Cochise,AZ,Passenger,1,0,1,67,68,1.47
April 30 2017,Yakima,WA,Passenger,38,54,92,159238,159330,0.06
January 31 2019,Snohomish,WA,Truck,1,0,1,121930,121931,0.00
March 31 2025,Okanogan,WA,Truck,31,0,31,16398,16429,0.19
September 30 2020,Fairfax,VA,Passenger,6,2,8,764,772,1.04
October 31 2023,Thurston,WA,Passenger,3578,1322,4900,188534,193434,2.53
October 31 2022,Davidson,TN,Passenger,1,0,1,61,62,1.61
February 29 2024,Kings,CA,Passenger,4,0,4,277,281,1.42
August 31 2025,Maricopa,AZ,Passenger,10,3,13,632,645,2.02
September 30 2021,Richmond,NY,Passenger,1,0,1,6,7,14.29
May 31 2025,Fresno,CA,Passenger,1,1,2,119,121,1.65
August 31 2024,Osceola,FL,Passenger,1,0,1,30,31,3.23
August 31 2025,Bienville,LA,Passenger,0,1,1,0,1,100.00
June 30 2024,New Haven,CT,Passenger,2,0,2,29,31,6.45
July 31 2021,Klickitat,WA,Truck,0,0,0,8293,8293,0.00
March 31 2021,El Dorado,CA,Passenger,1,0,1,41,42,2.38
April 30 2021,Lake,FL,Passenger,1,0,1,31,32,3.12
January 31 2024,El Paso,CO,Passenger,9,5,14,574,588,2.38
January 31 2024,Monroe,NY,Passenger,1,0,1,24,25,4.00
June 30 2024,Kent,MI,Passenger,1,0,1,20,21,4.76
July 31 2021,Barnstable,MA,Passenger,1,0,1,27,28,3.57
January 31 2020,Penobscot,ME,Passenger,0,2,2,16,18,11.11
June 30 2024,Pulaski,MO,Passenger,4,0,4,116,120,3.33
October 31 2025,Pima,AZ,Passenger,2,0,2,133,135,1.48
September 30 2017,Montgomery,TX,Passenger,1,0,1,63,64,1.56
December 31 2022,Anne Arundel,MD,Truck,1,0,1,51,52,1.92
May 31 2021,Lewis,WA,Truck,0,0,0,26879,26879,0.00
April 30 2020,Clay,FL,Passenger,0,1,1,91,92,1.09
November 30 2023,Mason,WA,Truck,17,0,17,20438,20455,0.08
November 30 2024,Island,WA,Truck,79,0,79,20585,20664,0.38
November 30 2018,Arlington,VA,Passenger,1,1,2,178,180,1.11
September 30 2024,Fort Bend,TX,Passenger,1,0,1,21,22,4.55
July 31 2024,Kings,CA,Passenger,3,0,3,258,261,1.15
December 31 2020,Contra Costa,CA,Passenger,4,4,8,272,280,2.86
September 30 2023,Denver,CO,Passenger,2,0,2,99,101,1.98
August 31 2019,Collier,FL,Passenger,1,0,1,25,26,3.85
August 31 2023,Garfield,WA,Truck,0,0,0,965,965,0.00
April 30 2023,Cowlitz,WA,Passenger,435,204,639,69836,70475,0.91
December 31 2023,Arapahoe,CO,Passenger,2,1,3,87,90,3.33
May 31 2019,Rogers,OK,Passenger,1,0,1,9,10,10.00
November 30 2021,Washington,WI,Passenger,1,0,1,2,3,33.33
February 28 2022,Boone,MO,Passenger,0,1,1,10,11,9.09
September 30 2018,Maui,HI,Passenger,1,0,1,58,59,1.69
May 31 2024,Platte,MO,Passenger,2,1,3,16,19,15.79
June 30 2017,Norfolk,VA,Passenger,1,1,2,305,307,0.65
April 30 2022,Snohomish,WA,Truck,4,0,4,124396,124400,0.00
May 31 2025,Walla Walla,WA,Passenger,427,212,639,35293,35932,1.78
July 31 2022,Ada,ID,Passenger,2,0,2,226,228,0.88
October 31 2017,Contra Costa,CA,Passenger,0,1,1,482,483,0.21
December 31 2022,Suffolk,MA,Passenger,3,1,4,36,40,10.00
January 31 2019,Montgomery,PA,Passenger,2,0,2,35,37,5.41
May 31 2024,Prince George,VA,Passenger,1,0,1,60,61,1.64
October 31 2025,Fresno,CA,Passenger,1,1,2,98,100,2.00
April 30 2025,Dakota,MN,Passenger,0,1,1,10,11,9.09
July 31 2018,Benton,WA,Truck,0,0,0,41074,41074,0.00
November 30 2024,Richmond,GA,Passenger,1,2,3,56,59,5.08
October 31 2024,Hillsborough,FL,Passenger,2,2,4,109,113,3.54
November 30 2022,Kern,CA,Passenger,2,1,3,225,228,1.32
July 31 2021,Mercer,NJ,Passenger,0,1,1,12,13,7.69
June 30 2017,Asotin,WA,Passenger,6,3,9,12420,12429,0.07
July 31 2023,Alameda,CA,Passenger,7,2,9,231,240,3.75
March 31 2017,Island,WA,Passenger,105,130,235,59534,59769,0.39
September 30 2022,Lincoln,WA,Passenger,10,16,26,7700,7726,0.34
September 30 2020,Riverside,CA,Passenger,5,0,5,676,681,0.73
May 31 2023,San Diego,CA,Passenger,25,8,33,2497,2530,1.30
April 30 2024,Lewis and Clark,MT,Passenger,1,0,1,16,17,5.88
January 31 2025,Camden,NJ,Passenger,1,0,1,10,11,9.09
February 28 2018,Cowlitz,WA,Passenger,54,70,124,70924,71048,0.17
August 31 2023,San Mateo,CA,Truck,1,0,1,6,7,14.29
August 31 2017,Walla Walla,WA,Truck,0,0,0,13183,13183,0.00
May 31 2020,Douglas,WA,Truck,0,0,0,12266,12266,0.00
September 30 2023,La Plata,CO,Passenger,1,0,1,9,10,10.00
July 31 2025,Chelan,WA,Truck,97,0,97,22764,22861,0.42
December 31 2023,Pima,AZ,Passenger,2,0,2,226,228,0.88
July 31 2025,Nassau,NY,Passenger,1,0,1,20,21,4.76
January 31 2021,Saginaw,MI,Passenger,2,0,2,10,12,16.67
February 29 2024,Spotsylvania,VA,Passenger,1,1,2,28,30,6.67
April 30 2022,San Juan,WA,Passenger,492,157,649,14099,14748,4.40
February 28 2025,Greene,OH,Passenger,1,0,1,22,23,4.35
September 30 2017,Nassau,NY,Passenger,1,1,2,41,43,4.65
July 31 2023,Norfolk,MA,Passenger,1,1,2,26,28,7.14
June 30 2025,Clark,NV,Passenger,8,2,10,437,447,2.24
May 31 2020,Kitsap,WA,Truck,0,0,0,53807,53807,0.00
January 31 2020,Hawaii,HI,Passenger,1,0,1,72,73,1.37
June 30 2019,Twin Falls,ID,Passenger,0,1,1,26,27,3.70
September 30 2023,Wahkiakum,WA,Truck,4,0,4,1764,1768,0.23
June 30 2018,Walla Walla,WA,Passenger,34,42,76,35642,35718,0.21
March 31 2019,Riverside,CA,Passenger,2,2,4,715,719,0.56
October 31 2020,Douglas,WA,Truck,0,0,0,12402,12402,0.00
November 30 2019,Guadalupe,TX,Passenger,1,0,1,71,72,1.39
April 30 2023,Sarpy,NE,Passenger,1,0,1,68,69,1.45
January 31 2023,San Mateo,CA,Passenger,4,1,5,109,114,4.39
July 31 2023,Denton,TX,Passenger,1,0,1,75,76,1.32
November 30 2020,Anne Arundel,MD,Passenger,1,1,2,401,403,0.50
August 31 2021,Cowlitz,WA,Truck,0,1,1,29055,29056,0.00
October 31 2021,Missoula,MT,Passenger,1,0,1,63,64,1.56
April 30 2025,Pulaski,MO,Passenger,3,0,3,104,107,2.80
July 31 2025,Saratoga,NY,Passenger,1,1,2,31,33,6.06
March 31 2023,St. Johns,FL,Passenger,1,0,1,46,47,2.13
October 31 2021,Lincoln,WA,Passenger,7,16,23,7686,7709,0.30
October 31 2022,Jefferson,WA,Truck,5,0,5,9373,9378,0.05
August 31 2019,Island,WA,Passenger,334,245,579,63306,63885,0.91
March 31 2017,Walla Walla,WA,Truck,0,0,0,13178,13178,0.00
November 30 2019,Spokane,WA,Passenger,631,469,1100,314315,315415,0.35
December 31 2023,Bay,FL,Passenger,1,0,1,33,34,2.94
September 30 2021,Nueces,TX,Passenger,1,0,1,77,78,1.28
December 31 2019,Hennepin,MN,Passenger,2,1,3,120,123,2.44
December 31 2021,Portsmouth,VA,Passenger,0,1,1,79,80,1.25
February 28 2018,Hawaii,HI,Passenger,1,0,1,89,90,1.11
July 31 2020,Deschutes,OR,Passenger,3,0,3,161,164,1.83
July 31 2020,Maui,HI,Passenger,2,0,2,36,38,5.26
September 30 2017,Tulare,CA,Passenger,1,0,1,199,200,0.50
June 30 2019,Guadalupe,TX,Passenger,1,0,1,76,77,1.30
October 31 2023,San Diego,CA,Passenger,24,9,33,2414,2447,1.35
February 28 2018,Island,WA,Passenger,165,172,337,61777,62114,0.54
January 31 2018,El Paso,CO,Passenger,2,1,3,780,783,0.38
September 30 2020,Wise,TX,Passenger,1,0,1,10,11,9.09
January 31 2023,Pima,AZ,Passenger,2,0,2,279,281,0.71
February 29 2024,Pacific,WA,Passenger,100,100,200,15507,15707,1.27
March 31 2024,Tooele,UT,Passenger,2,0,2,10,12,16.67
January 31 2018,Snohomish,WA,Passenger,2074,1090,3164,517788,520952,0.61
December 31 2018,Guadalupe,TX,Passenger,1,0,1,79,80,1.25
May 31 2017,Essex,NJ,Passenger,1,0,1,18,19,5.26
September 30 2018,Manassas,VA,Passenger,0,1,1,9,10,10.00
July 31 2023,Sussex,NJ,Passenger,1,0,1,2,3,33.33
September 30 2018,Caddo,LA,Passenger,0,1,1,25,26,3.85
January 31 2023,Bartow,GA,Passenger,0,1,1,4,5,20.00
May 31 2019,San Juan,PR,Passenger,0,1,1,4,5,20.00
July 31 2025,Garfield,WA,Truck,0,0,0,1004,1004,0.00
September 30 2022,Pend Oreille,WA,Passenger,18,12,30,8984,9014,0.33
June 30 2020,Okanogan,WA,Passenger,36,33,69,25826,25895,0.27
May 31 2022,Hawaii,HI,Passenger,1,0,1,52,53,1.89
November 30 2021,Allegheny,PA,Passenger,2,1,3,76,79,3.80
January 31 2020,Jefferson,WA,Truck,0,0,0,9654,9654,0.00
February 28 2021,Adams,WA,Passenger,10,6,16,12961,12977,0.12
December 31 2021,San Francisco,CA,Passenger,3,2,5,117,122,4.10
July 31 2023,Essex,MA,Passenger,1,0,1,15,16,6.25
June 30 2023,McLennan,TX,Passenger,1,0,1,14,15,6.67
March 31 2021,Yakima,WA,Truck,0,0,0,61342,61342,0.00
July 31 2023,Wahkiakum,WA,Passenger,26,17,43,3017,3060,1.41
May 31 2024,Macomb,MI,Passenger,1,0,1,23,24,4.17
January 31 2021,Harris,TX,Passenger,1,1,2,281,283,0.71
December 31 2024,Tippecanoe,IN,Passenger,0,1,1,14,15,6.67
September 30 2025,Riley,KS,Passenger,1,0,1,48,49,2.04
October 31 2022,Hawaii,HI,Passenger,1,0,1,49,50,2.00
September 30 2024,Hamilton,IN,Passenger,2,0,2,25,27,7.41
June 30 2025,York,VA,Passenger,3,0,3,69,72,4.17
February 28 2023,Loudoun,VA,Passenger,3,1,4,67,71,5.63
April 30 2025,Shelby,TN,Passenger,1,1,2,61,63,3.17
September 30 2024,Newport,RI,Passenger,0,2,2,65,67,2.99
January 31 2021,Portsmouth,VA,Passenger,0,1,1,75,76,1.32
October 31 2021,Lee,FL,Passenger,1,0,1,53,54,1.85
May 31 2018,Fairfax,VA,Passenger,3,1,4,847,851,0.47
January 31 2025,Rockingham,NH,Passenger,3,0,3,18,21,14.29
July 31 2024,Duval,FL,Passenger,5,1,6,266,272,2.21
June 30 2022,Okaloosa,FL,Passenger,0,2,2,120,122,1.64
July 31 2021,Middlesex,MA,Passenger,1,0,1,118,119,0.84
December 31 2019,Douglas,NE,Passenger,0,1,1,64,65,1.54
January 31 2020,Island,WA,Passenger,391,258,649,63403,64052,1.01
January 31 2023,San Luis Obispo,CA,Passenger,1,1,2,70,72,2.78
March 31 2024,Multnomah,OR,Passenger,9,2,11,553,564,1.95
January 31 2025,Atascosa,TX,Passenger,1,0,1,1,2,50.00
December 31 2019,Lewis,WA,Truck,0,0,0,26075,26075,0.00
March 31 2019,DeKalb,GA,Passenger,1,0,1,85,86,1.16
March 31 2023,Honolulu,HI,Passenger,4,3,7,406,413,1.69
March 31 2023,Walla Walla,WA,Truck,5,0,5,13766,13771,0.04
June 30 2024,Dakota,MN,Passenger,1,1,2,13,15,13.33
January 31 2019,Salt Lake,UT,Passenger,1,0,1,235,236,0.42
June 30 2019,Lake,CA,Passenger,0,1,1,11,12,8.33
February 28 2019,Bexar,TX,Passenger,2,4,6,716,722,0.83
November 30 2017,Whatcom,WA,Truck,1,0,1,41912,41913,0.00
July 31 2023,Pinal,AZ,Passenger,1,1,2,134,136,1.47
January 31 2023,Charleston,SC,Passenger,1,2,3,71,74,4.05
October 31 2024,Macomb,MI,Passenger,4,0,4,20,24,16.67
March 31 2020,Stafford,VA,Passenger,1,1,2,98,100,2.00
July 31 2024,King,WA,Truck,1527,2,1529,170033,171562,0.89
July 31 2024,Kauai,HI,Passenger,0,1,1,17,18,5.56
March 31 2024,Somerset,NJ,Passenger,1,0,1,6,7,14.29
March 31 2017,Benton,WA,Truck,0,0,0,39840,39840,0.00
June 30 2022,Ventura,CA,Passenger,0,2,2,286,288,0.69
April 30 2022,Klickitat,WA,Passenger,99,56,155,15207,15362,1.01
March 31 2018,Dakota,MN,Passenger,0,2,2,41,43,4.65
October 31 2022,Portsmouth,VA,Passenger,1,1,2,76,78,2.56
March 31 2020,Frederick,MD,Passenger,1,1,2,73,75,2.67
July 31 2023,Botetourt,VA,Passenger,1,0,1,1,2,50.00
January 31 2022,Lake,IL,Passenger,5,0,5,164,169,2.96
November 30 2022,Albemarle,VA,Passenger,2,0,2,20,22,9.09
September 30 2025,Fairfax,VA,Passenger,18,5,23,491,514,4.47
May 31 2019,Bergen,NJ,Passenger,1,0,1,27,28,3.57
March 31 2025,Santa Clara,CA,Passenger,21,5,26,200,226,11.50
July 31 2025,Somerset,NJ,Passenger,1,0,1,4,5,20.00
May 31 2024,Oldham,KY,Passenger,0,1,1,4,5,20.00
August 31 2023,Whatcom,WA,Truck,66,0,66,42546,42612,0.15
February 28 2021,Okaloosa,FL,Passenger,0,1,1,145,146,0.68
October 31 2023,Skagit,WA,Truck,31,0,31,31678,31709,0.10
May 31 2021,Barnstable,MA,Passenger,1,0,1,26,27,3.70
December 31 2022,Cowlitz,WA,Passenger,405,189,594,70099,70693,0.84
May 31 2024,San Diego,CA,Truck,1,0,1,452,453,0.22
November 30 2021,Douglas,WA,Truck,0,0,0,12675,12675,0.00
November 30 2019,Mason,WA,Passenger,140,129,269,47572,47841,0.56
May 31 2023,San Juan,WA,Passenger,607,177,784,13792,14576,5.38
August 31 2020,Maricopa,AZ,Passenger,7,11,18,1673,1691,1.06
January 31 2017,Bergen,NJ,Passenger,0,2,2,34,36,5.56
April 30 2021,Howard,IN,Passenger,0,1,1,4,5,20.00
